A valid repository for "Hatchelorette" could not be found in the following locations:
Hatchelorette
C:\Users\Jeff/.cookiecutters/Hatchelorette
         336164 function calls (327325 primitive calls) in 2.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
       28    0.000    0.000    0.000    0.000 :0(listdir)
      459    0.000    0.000    0.000    0.000 :0(partition)
      872    0.000    0.000    0.000    0.000 :0(lower)
     1002    0.000    0.000    0.000    0.000 :0(add)
      291    0.000    0.000    0.000    0.000 :0(update)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       20    0.000    0.000    0.000    0.000 :0(create_builtin)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       20    0.000    0.000    0.000    0.000 :0(exec_builtin)
       26    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
      153    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      153    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
